date,r,tbill,long_yield,inflation,svar,epu,kilian,oil_prod_growth,oil_stock_growth,oil_import_growth,m2_growth,ip_crude_growth,unrate_change,cfnai,capacity_util,MA_1_9,MA_1_12,MA_2_9,MA_2_12,MA_3_9,MA_3_12,MOM_1,MOM_2,MOM_3,MOM_6,MOM_9,MOM_12,OBV_1_9,OBV_1_12,OBV_2_9,OBV_2_12,OBV_3_9,OBV_3_12
2001-09-01,-0.1642080274012847,2.64,4.73,0,0.00728298191328595,84.28912,-45.123614,-0.00418337720085126,-0.01594059700118855,-0.01785101534233391,0.00646657058354982,-0.00404952650917156,0.3000000000000007,-0.43,72.5684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2001-10-01,-0.12060849905930128,2.16,4.57,0.00393812042013763,0.00324534137945441,188.05949,-48.987016,-0.0027986724581801,0.00438092667583589,-0.00470036118033156,0.02100295151284825,-0.00287003436229849,0.09999999999999964,-1.12,72.1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2001-11-01,-0.01224729463176776,1.87,4.65,-0.00281135973754675,0.00216809351213337,173.14334,-53.640191,0.00646008357497507,0.01268086664095946,-0.01380075812148184,-0.00211236747736798,0.00647657638659726,0.2999999999999998,-0.18,71.6482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-12-01,0.01518621463480229,1.69,5.09,-5.632216425990322e-4,0.0017935718235528,130.57563,-58.323553,0.0232228549207214,-0.00333853823865837,0.01176420669140121,0.008144445045561,0.02326918242145215,0.20000000000000015,-0.81,71.2675,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2002-01-01,0.04777925308531339,1.65,5.04,-5.63539039991845e-4,0.00220726889072902,117.23658,-56.36085,0.0010197145683044,-6.728936280939735e-4,-0.05298888061868823,0.00978951297906327,0.00103394859829464,0.20000000000000015,-0.32,71.2844,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2002-02-01,0.16599238995150722,1.72,4.91,0.00168966528512726,0.0025802473452787,116.83745,-49.586035,-0.00238095350574063,0.02632521755100825,-0.01481677436820838,0.00374264292889492,-0.00238605663528623,0,-0.05,71.6773,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
2002-03-01,0.06062712281996241,1.79,5.28,0.00168681513147905,0.00199964167041381,87.60069,-46.520141,0.00136123893743622,0.02178701775666525,0.00503952503969706,0.0053510733925588,0.00127730413855875,0,-0.1,71.6304,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0
2002-04-01,0.03120666337576283,1.71,5.21,0.00280505092760829,0.00232830629923817,83.44043,-36.253792,8.498343334615299e-4,0.01860354078835335,0.00524157991312357,0.00214697777199823,8.288965571052742e-4,0,-0.03,72.1017,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2002-05-01,-0.05841174063793941,1.73,5.16,0.00447177939139376,0.00405543406685153,88.5661,-35.413335,-0.00716115592282839,-0.02691026057725665,0.05548384259690664,1.817504384860058e-5,-0.007054004931204,0.20000000000000015,0.16,72.3014,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
2002-06-01,0.05303798365293799,1.7,4.93,0.0011148273172461,0.00372465941979352,86.29886,-39.528863,0.01038395576087225,0.00730425327076744,0.00236254405422542,0.00475051662172809,0.01031993997041169,-0.10000000000000052,0.07,72.647,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
