Model,R2_OS_report,Success_report,MSPE,MSPE_ratio,CW_p_value,DA_p_value
Historical average,-,0.553,0.008987,1,NA,NA
Elastic Net,13.902**,0.610**,0.007738,0.861,0.0390936886609049,0.015432339713195686
Lasso,14.233**,0.585*,0.007708,0.858,0.03987437494245083,0.054949373262276224
Ridge,9.172**,0.610**,0.008163,0.908,0.04318502954780645,0.018627577300340037
PC,10.473**,0.618***,0.008046,0.895,0.0215153427310667,0.005414342366515168
PLS,7.807**,0.537,0.008286,0.922,0.038807583666794154,0.21683829470140914
Mean,3.083*,0.577,0.00871,0.969,0.07296650964069584,0.13666139414937306
Median,0.905,0.561,0.008906,0.991,0.23199314766800516,0.2676073759011267
Trimmed mean,2.223*,0.569,0.008788,0.978,0.0888012676362917,0.18517316643814863
DMSPE(1),3.479*,0.577,0.008675,0.965,0.06535332635227131,0.12072359731261073
DMSPE(0.9),3.679*,0.569,0.008657,0.963,0.06454376678121698,0.1655682038538352
