Model,MSPE,MSPE_ratio,R2_OS_percent,Success_ratio,CW_stat,CW_p_value,DA_stat,DA_p_value
Historical average,0.008987272166180137,1,NA,0.5528455284552846,NA,NA,NA,NA
Elastic Net,0.0077378412033728096,0.8609777316515415,13.902226834845855,0.6097560975609756,1.7613015531733145,0.0390936886609049,2.15881297547398,0.015432339713195686
Lasso,0.007708142709967759,0.8576732258063966,14.23267741936034,0.5853658536585366,1.7521457460214076,0.03987437494245083,1.5986484109281132,0.054949373262276224
Ridge,0.008162932310058853,0.9082769675960918,9.172303240390821,0.6097560975609756,1.714864573699871,0.04318502954780645,2.0829568753281893,0.018627577300340037
PC,0.00804604716504201,0.8952713366487292,10.472866335127085,0.6178861788617886,2.023412024777727,0.0215153427310667,2.5481791451821323,0.005414342366515168
PLS,0.008285632598631189,0.9219296406545607,7.807035934543927,0.5365853658536586,1.7646942390092637,0.038807583666794154,0.7829157475234882,0.21683829470140914
Mean,0.008710228861715194,0.9691738161099116,3.08261838900884,0.5772357723577236,1.454047926265873,0.07296650964069584,1.0954425801062762,0.13666139414937306
Median,0.008905914364737972,0.9909474421228366,0.9052557877163414,0.5609756097560976,0.7322986627929309,0.23199314766800516,0.6200653677167502,0.2676073759011267
Trimmed mean,0.00878751978871343,0.9777738591006077,2.2226140899392344,0.5691056910569106,1.3481736570142657,0.0888012676362917,0.8958248177416834,0.18517316643814863
DMSPE(1),0.008674609641533331,0.9652105200704413,3.478947992955872,0.5772357723577236,1.5113211310583266,0.06535332635227131,1.1713771952362684,0.12072359731261073
DMSPE(0.9),0.008656638336765473,0.9632108805318185,3.678911946818153,0.5691056910569106,1.5177099541945882,0.06454376678121698,0.9718274291918874,0.1655682038538352
