date,Model,CSPE
2006-09-01,Elastic Net,0.003462697700762773
2006-09-01,Lasso,0.0035078692079983254
2006-09-01,Ridge,0.0012633673101514198
2006-09-01,PC,0.005608440044693466
2006-09-01,PLS,0.003494863193025619
2006-09-01,Mean,4.2089499642456504e-4
2006-09-01,Median,-2.9061236236385853e-5
2006-09-01,Trimmed mean,3.925196987810773e-4
2006-09-01,DMSPE(1),4.2089499642456504e-4
2006-09-01,DMSPE(0.9),4.2089499642456504e-4
2006-10-01,Elastic Net,0.003395885253059475
2006-10-01,Lasso,0.00344343116318045
2006-10-01,Ridge,0.001278252502573059
2006-10-01,PC,0.0056778057816551175
2006-10-01,PLS,0.0034007704910923755
2006-10-01,Mean,4.558537356222203e-4
2006-10-01,Median,-2.3655670625112276e-6
2006-10-01,Trimmed mean,4.412377252576075e-4
2006-10-01,DMSPE(1),4.558537356222203e-4
2006-10-01,DMSPE(0.9),4.558537356222203e-4
2006-11-01,Elastic Net,0.004339212719660584
2006-11-01,Lasso,0.004402393734668452
2006-11-01,Ridge,0.0017615406849372961
2006-11-01,PC,0.005802500753530118
2006-11-01,PLS,0.0033382437291993475
2006-11-01,Mean,4.489870631531967e-4
2006-11-01,Median,4.544290582965288e-5
2006-11-01,Trimmed mean,3.73010954903372e-4
2006-11-01,DMSPE(1),4.0025521104897194e-4
2006-11-01,DMSPE(0.9),3.9342518443587633e-4
2006-12-01,Elastic Net,0.008355211956565396
2006-12-01,Lasso,0.00865724809022174
2006-12-01,Ridge,0.004411503591616207
2006-12-01,PC,0.006633231603715049
2006-12-01,PLS,0.010878073150342137
2006-12-01,Mean,0.0013084328620697411
2006-12-01,Median,9.001868253666669e-4
2006-12-01,Trimmed mean,0.0011018068054326276
2006-12-01,DMSPE(1),0.0017364521007434926
2006-12-01,DMSPE(0.9),0.0016897052937636318
2007-01-01,Elastic Net,0.005224996582832805
2007-01-01,Lasso,0.006261317402597587
2007-01-01,Ridge,3.2728543614778486e-5
2007-01-01,PC,7.714402325114433e-4
2007-01-01,PLS,-0.0014420324448059818
2007-01-01,Mean,1.0888169251275704e-4
2007-01-01,Median,-4.674320666208457e-4
2007-01-01,Trimmed mean,-1.6618936338983154e-4
2007-01-01,DMSPE(1),2.6837879095890465e-4
2007-01-01,DMSPE(0.9),2.3386854552735393e-4
2007-02-01,Elastic Net,0.005213675648943413
2007-02-01,Lasso,0.00624734214954111
