variable,frequency
MOM_1,0.959349593495935
svar,0.7642276422764228
MOM_2,0.7560975609756098
MOM_6,0.5609756097560976
MOM_3,0.4715447154471545
inflation,0.43902439024390244
oil_stock_growth,0.4146341463414634
MOM_12,0.35772357723577236
unrate_change,0.3333333333333333
ip_crude_growth,0.3170731707317073
long_yield,0.3008130081300813
MA_2_12,0.3008130081300813
OBV_2_9,0.2682926829268293
MA_1_9,0.21951219512195122
kilian,0.2032520325203252
MA_1_12,0.1951219512195122
cfnai,0.18699186991869918
MA_3_9,0.17886178861788618
OBV_3_12,0.13008130081300814
oil_import_growth,0.08943089430894309
oil_prod_growth,0.08130081300813008
m2_growth,0.06504065040650407
OBV_1_12,0.04878048780487805
tbill,0.024390243902439025
capacity_util,0.024390243902439025
MA_3_12,0.016260162601626018
OBV_2_12,0.016260162601626018
epu,0.008130081300813009
OBV_1_9,0.008130081300813009
MA_2_9,0
MOM_9,0
OBV_3_9,0
