variable,frequency
MOM_1,0.8943089430894309
svar,0.6991869918699187
MOM_2,0.6666666666666666
inflation,0.2926829268292683
MOM_6,0.23577235772357724
oil_stock_growth,0.17073170731707318
cfnai,0.17073170731707318
MOM_12,0.16260162601626016
ip_crude_growth,0.13008130081300814
long_yield,0.12195121951219512
MA_1_9,0.07317073170731707
unrate_change,0.056910569105691054
OBV_2_9,0.056910569105691054
MOM_3,0.032520325203252036
oil_import_growth,0.024390243902439025
capacity_util,0.024390243902439025
OBV_1_12,0.024390243902439025
tbill,0.016260162601626018
epu,0.008130081300813009
kilian,0.008130081300813009
m2_growth,0.008130081300813009
MA_2_12,0.008130081300813009
oil_prod_growth,0
MA_1_12,0
MA_2_9,0
MA_3_9,0
MA_3_12,0
MOM_9,0
OBV_1_9,0
OBV_2_12,0
OBV_3_9,0
OBV_3_12,0
