variable,frequency
MA_1_9,1
MOM_1,1
MOM_6,1
OBV_2_9,1
unrate_change,0.983739837398374
cfnai,0.9024390243902439
oil_stock_growth,0.8617886178861789
svar,0.8455284552845529
MOM_2,0.8455284552845529
MOM_3,0.8130081300813008
inflation,0.7886178861788617
MOM_12,0.7398373983739838
MA_1_12,0.4959349593495935
OBV_2_12,0.4959349593495935
capacity_util,0.4796747967479675
MA_3_9,0.4634146341463415
tbill,0.44715447154471544
kilian,0.36585365853658536
long_yield,0.34959349593495936
MA_2_9,0.34146341463414637
MA_2_12,0.3333333333333333
m2_growth,0.24390243902439024
oil_import_growth,0.23577235772357724
epu,0.21951219512195122
ip_crude_growth,0.17886178861788618
OBV_1_12,0.16260162601626016
OBV_1_9,0.14634146341463414
OBV_3_12,0.13008130081300814
MA_3_12,0.008130081300813009
OBV_3_9,0.008130081300813009
oil_prod_growth,0
MOM_9,0
