model,variable,frequency
Boosting_1,svar,0.5853658536585366
Boosting_1,MOM_1,0.3333333333333333
Boosting_1,MOM_2,0.08130081300813008
Boosting_1,tbill,0
Boosting_1,long_yield,0
Boosting_1,inflation,0
Boosting_1,epu,0
Boosting_1,kilian,0
Boosting_1,oil_prod_growth,0
Boosting_1,oil_stock_growth,0
Boosting_1,oil_import_growth,0
Boosting_1,m2_growth,0
Boosting_1,ip_crude_growth,0
Boosting_1,unrate_change,0
Boosting_1,cfnai,0
Boosting_1,capacity_util,0
Boosting_1,MA_1_9,0
Boosting_1,MA_1_12,0
Boosting_1,MA_2_9,0
Boosting_1,MA_2_12,0
Boosting_1,MA_3_9,0
Boosting_1,MA_3_12,0
Boosting_1,MOM_3,0
Boosting_1,MOM_6,0
Boosting_1,MOM_9,0
Boosting_1,MOM_12,0
Boosting_1,OBV_1_9,0
Boosting_1,OBV_1_12,0
Boosting_1,OBV_2_9,0
Boosting_1,OBV_2_12,0
Boosting_1,OBV_3_9,0
Boosting_1,OBV_3_12,0
Boosting_5,MOM_1,1
Boosting_5,svar,0.7886178861788617
Boosting_5,MOM_2,0.2926829268292683
Boosting_5,inflation,0.04878048780487805
Boosting_5,tbill,0
Boosting_5,long_yield,0
Boosting_5,epu,0
Boosting_5,kilian,0
Boosting_5,oil_prod_growth,0
Boosting_5,oil_stock_growth,0
Boosting_5,oil_import_growth,0
Boosting_5,m2_growth,0
Boosting_5,ip_crude_growth,0
Boosting_5,unrate_change,0
Boosting_5,cfnai,0
Boosting_5,capacity_util,0
Boosting_5,MA_1_9,0
Boosting_5,MA_1_12,0
Boosting_5,MA_2_9,0
Boosting_5,MA_2_12,0
Boosting_5,MA_3_9,0
Boosting_5,MA_3_12,0
Boosting_5,MOM_3,0
Boosting_5,MOM_6,0
Boosting_5,MOM_9,0
Boosting_5,MOM_12,0
Boosting_5,OBV_1_9,0
Boosting_5,OBV_1_12,0
Boosting_5,OBV_2_9,0
Boosting_5,OBV_2_12,0
Boosting_5,OBV_3_9,0
Boosting_5,OBV_3_12,0
Boosting_10,MOM_1,1
Boosting_10,svar,0.7967479674796748
Boosting_10,MOM_2,0.5203252032520326
Boosting_10,inflation,0.2032520325203252
Boosting_10,cfnai,0.16260162601626016
Boosting_10,ip_crude_growth,0.0975609756097561
Boosting_10,MOM_6,0.04878048780487805
Boosting_10,tbill,0
Boosting_10,long_yield,0
Boosting_10,epu,0
Boosting_10,kilian,0
Boosting_10,oil_prod_growth,0
Boosting_10,oil_stock_growth,0
Boosting_10,oil_import_growth,0
