variable,frequency
MOM_1,0.9349593495934959
svar,0.7479674796747967
MOM_2,0.5934959349593496
inflation,0.34146341463414637
MOM_6,0.3170731707317073
cfnai,0.2032520325203252
OBV_2_9,0.1951219512195122
oil_stock_growth,0.18699186991869918
MA_1_9,0.18699186991869918
MOM_12,0.18699186991869918
long_yield,0.14634146341463414
ip_crude_growth,0.13821138211382114
kilian,0.12195121951219512
unrate_change,0.10569105691056911
OBV_1_12,0.0975609756097561
MOM_3,0.08943089430894309
oil_import_growth,0.024390243902439025
capacity_util,0.024390243902439025
OBV_1_9,0.016260162601626018
tbill,0.008130081300813009
m2_growth,0.008130081300813009
OBV_3_12,0.008130081300813009
epu,0
oil_prod_growth,0
MA_1_12,0
MA_2_9,0
MA_2_12,0
MA_3_9,0
MA_3_12,0
MOM_9,0
OBV_2_12,0
OBV_3_9,0
