Model,R2_OS_report,Success_report,MSPE,MSPE_ratio,CW_p_value,DA_p_value
Historical average,-,0.553,0.008987,1,NA,NA
Elastic Net,13.902**,0.610**,0.007738,0.861,0.0390936886609049,0.01543233971319568
Lasso,14.233**,0.585*,0.007708,0.858,0.03987437494245083,0.05494937326227622
Ridge,9.172**,0.610**,0.008163,0.908,0.04318502954780645,0.01862757730034003
PC,10.473**,0.618***,0.008046,0.895,0.0215153427310667,0.00541434236651516
PLS,7.807**,0.537,0.008286,0.922,0.03880758366679415,0.2168382947014091
Mean,3.083*,0.577,0.00871,0.969,0.07296650964069584,0.13666139414937306
Median,0.905,0.561,0.008906,0.991,0.23199314766800516,0.2676073759011267
Trimmed mean,2.223*,0.569,0.008788,0.978,0.0888012676362917,0.18517316643814863
DMSPE(1),3.479*,0.577,0.008675,0.965,0.06535332635227131,0.12072359731261072
DMSPE(0.9),3.679*,0.569,0.008657,0.963,0.06454376678121698,0.1655682038538352
Screening 1,10.708**,0.553,0.008025,0.893,0.03451106027157802,0.2115783915475452
Screening 2,15.324**,0.650***,0.00761,0.847,0.02065407691743415,4.103628085521116e-4
Screening 3,16.944**,0.642***,0.007464,0.831,0.01637929312317965,0.001376026496385352
Screening 4,15.922**,0.634***,0.007556,0.841,0.015695094530787435,0.0020471090806174486
Screening 5,15.849**,0.634***,0.007563,0.842,0.016025316437624726,0.0020471090806174486
Screening 6,16.088**,0.659***,0.007541,0.839,0.012316920382036467,3.458660496638011e-4
Screening 7,16.258***,0.667***,0.007526,0.837,0.00928092829076832,1.6396304458943245e-4
Screening 8,14.870**,0.667***,0.007651,0.851,0.011014668905449665,1.6396304458943245e-4
Screening 9,13.641**,0.659***,0.007761,0.864,0.013081497081838589,3.008514904854209e-4
Screening 10,13.608**,0.650***,0.007764,0.864,0.012722034269534443,6.157250938201297e-4
Screening 11,9.914**,0.610**,0.008096,0.901,0.015129263589807374,0.012717040618619002
Screening 12,7.807**,0.618***,0.008286,0.922,0.01704161111711866,0.008284751389544098
Screening 13,5.879**,0.593**,0.008459,0.941,0.015655925711681506,0.027935733049302858
Screening 14,6.596**,0.618***,0.008395,0.934,0.01325154435976339,0.007464447985431111
Screening 15,8.837**,0.626***,0.008193,0.912,0.011269116889691344,0.0047230578486969765
Screening CV,11.997**,0.602**,0.007909,0.88,0.021620490895019495,0.025030389008253162
Boosting 1,2.295**,0.585,0.008781,0.977,0.03451106027157824,0.13450524775860895
Boosting 5,12.002**,0.585*,0.007909,0.88,0.011774406171308982,0.07944157192877066
Boosting 10,17.090**,0.626***,0.007451,0.829,0.015499483214295506,0.004226119655586391
Boosting 25,18.128**,0.642***,0.007358,0.819,0.016513215647779855,0.0012141127937463914
Boosting 50,15.139**,0.650***,0.007627,0.849,0.022431613414683138,7.028081227133942e-4
Boosting 100,12.758**,0.650***,0.007841,0.872,0.02202942009740827,8.010305629542191e-4
Boosting 200,11.631**,0.659***,0.007942,0.884,0.01914291150732117,5.208371848198778e-4
Boosting 300,10.554**,0.659***,0.008039,0.894,0.018161846908153922,5.208371848198778e-4
Boosting CV,14.435**,0.602**,0.00769,0.856,0.03718842611971851,0.025030389008253162
