date,Model,CSPE
2006-09-01,Screening 1,0.005271280751229772
2006-09-01,Screening 2,0.005791207104739449
2006-09-01,Screening 3,0.005001446229748878
2006-09-01,Screening 4,0.00418612513327792
2006-09-01,Screening 5,0.004219916753286233
2006-09-01,Screening 6,0.005841159443348046
2006-09-01,Screening 7,0.005803068546025856
2006-09-01,Screening 8,0.0058886480437091975
2006-09-01,Screening 9,0.005663037332082939
2006-09-01,Screening 10,0.005316247396670397
2006-09-01,Screening 11,7.044621930027842e-4
2006-09-01,Screening 12,0.001909555098269137
2006-09-01,Screening 13,0.0014025376389953789
2006-09-01,Screening 14,8.478739461250349e-4
2006-09-01,Screening 15,0.0014107575483805783
2006-09-01,Screening CV,0.005271280751229772
2006-09-01,Boosting 1,6.573785719254707e-4
2006-09-01,Boosting 5,0.0022479249140404086
2006-09-01,Boosting 10,0.0032283309440180293
2006-09-01,Boosting 25,0.0032477221905084794
2006-09-01,Boosting 50,0.002957888156273596
2006-09-01,Boosting 100,0.0029159489197584073
2006-09-01,Boosting 200,0.0027210674773852127
2006-09-01,Boosting 300,0.002133608297939498
2006-09-01,Boosting CV,0.0034812379749982678
2006-10-01,Screening 1,0.004431771055826125
2006-10-01,Screening 2,0.005183650535393543
2006-10-01,Screening 3,0.004469767062422109
2006-10-01,Screening 4,0.00364710462060345
2006-10-01,Screening 5,0.003914365161613094
2006-10-01,Screening 6,0.0057164923665945595
2006-10-01,Screening 7,0.005656394629281905
2006-10-01,Screening 8,0.005736659378859444
2006-10-01,Screening 9,0.005498401822874895
2006-10-01,Screening 10,0.004650856020044867
2006-10-01,Screening 11,2.642315393380541e-4
2006-10-01,Screening 12,0.001980789825877598
2006-10-01,Screening 13,0.0014746077018877345
2006-10-01,Screening 14,8.807997955934736e-4
2006-10-01,Screening 15,0.0012599930116753144
2006-10-01,Screening CV,0.004605889374604242
2006-10-01,Boosting 1,7.08143372033754e-4
2006-10-01,Boosting 5,0.0022127073541076633
2006-10-01,Boosting 10,0.0032339770108076892
2006-10-01,Boosting 25,0.003129834083979728
2006-10-01,Boosting 50,0.0029020440751943597
2006-10-01,Boosting 100,0.002892988574692315
2006-10-01,Boosting 200,0.0027071380234128667
2006-10-01,Boosting 300,0.0021864582255997
2006-10-01,Boosting CV,0.0034540844732412787
