date,screening_cv_d,boosting_B,n_selected_screening_cv,n_selected_screening_5,n_selected_screening_10,n_selected_boosting
2006-09-01,1,24,1,5,10,9
2006-10-01,10,76,10,5,10,12
2006-11-01,1,21,1,5,10,6
2006-12-01,1,21,1,5,10,6
2007-01-01,1,5,1,5,10,1
2007-02-01,1,5,1,5,10,1
2007-03-01,1,12,1,5,10,3
2007-04-01,1,13,1,5,10,3
2007-05-01,1,13,1,5,10,3
2007-06-01,1,12,1,5,10,3
2007-07-01,1,12,1,5,10,4
2007-08-01,1,17,1,5,10,4
2007-09-01,1,15,1,5,10,5
2007-10-01,1,15,1,5,10,5
2007-11-01,1,19,1,5,10,5
2007-12-01,1,19,1,5,10,5
2008-01-01,1,19,1,5,10,5
2008-02-01,1,22,1,5,10,6
2008-03-01,1,22,1,5,10,5
2008-04-01,1,22,1,5,10,5
2008-05-01,1,22,1,5,10,6
2008-06-01,1,16,1,5,10,5
2008-07-01,1,15,1,5,10,4
2008-08-01,4,25,4,5,10,5
2008-09-01,5,43,5,5,10,10
2008-10-01,7,86,7,5,10,12
2008-11-01,8,89,8,5,10,12
2008-12-01,12,54,12,5,10,10
2009-01-01,12,54,12,5,10,7
2009-02-01,12,70,12,5,10,9
2009-03-01,9,70,9,5,10,11
2009-04-01,5,94,5,5,10,11
2009-05-01,5,98,5,5,10,11
2009-06-01,10,46,10,5,10,7
2009-07-01,10,107,10,5,10,12
2009-08-01,10,107,10,5,10,12
2009-09-01,10,93,10,5,10,10
2009-10-01,10,105,10,5,10,11
2009-11-01,10,105,10,5,10,11
2009-12-01,10,103,10,5,10,12
2010-01-01,10,103,10,5,10,12
2010-02-01,10,97,10,5,10,11
2010-03-01,10,145,10,5,10,14
2010-04-01,10,145,10,5,10,14
2010-05-01,10,139,10,5,10,15
2010-06-01,10,139,10,5,10,15
2010-07-01,1,5,1,5,10,2
2010-08-01,1,9,1,5,10,2
2010-09-01,1,9,1,5,10,2
2010-10-01,1,9,1,5,10,2
2010-11-01,1,9,1,5,10,2
2010-12-01,1,10,1,5,10,2
2011-01-01,1,10,1,5,10,2
2011-02-01,1,10,1,5,10,2
2011-03-01,1,139,1,5,10,14
2011-04-01,1,139,1,5,10,14
2011-05-01,10,13,10,5,10,2
2011-06-01,1,17,1,5,10,3
2011-07-01,1,17,1,5,10,3
2011-08-01,12,9,12,5,10,3
2011-09-01,12,16,12,5,10,3
2011-10-01,13,15,13,5,10,3
2011-11-01,1,11,1,5,10,3
2011-12-01,1,11,1,5,10,3
2012-01-01,10,14,10,5,10,3
2012-02-01,10,14,10,5,10,3
2012-03-01,10,10,10,5,10,3
2012-04-01,11,11,11,5,10,3
2012-05-01,11,11,11,5,10,3
2012-06-01,1,21,1,5,10,3
2012-07-01,1,21,1,5,10,3
2012-08-01,1,11,1,5,10,3
2012-09-01,1,9,1,5,10,3
2012-10-01,1,9,1,5,10,3
2012-11-01,1,13,1,5,10,3
2012-12-01,1,13,1,5,10,3
2013-01-01,1,11,1,5,10,3
2013-02-01,10,4,10,5,10,2
2013-03-01,10,4,10,5,10,2
2013-04-01,10,4,10,5,10,2
2013-05-01,10,4,10,5,10,2
2013-06-01,1,9,1,5,10,3
2013-07-01,1,7,1,5,10,3
2013-08-01,1,7,1,5,10,3
2013-09-01,1,0,1,5,10,0
2013-10-01,1,0,1,5,10,0
2013-11-01,2,0,2,5,10,0
2013-12-01,4,0,4,5,10,0
2014-01-01,4,0,4,5,10,0
2014-02-01,3,0,3,5,10,0
2014-03-01,3,0,3,5,10,0
2014-04-01,1,0,1,5,10,0
2014-05-01,1,2,1,5,10,2
2014-06-01,1,2,1,5,10,2
2014-07-01,1,2,1,5,10,2
2014-08-01,1,2,1,5,10,2
2014-09-01,1,2,1,5,10,2
2014-10-01,4,4,4,5,10,3
2014-11-01,4,4,4,5,10,3
2014-12-01,5,12,5,5,10,3
2015-01-01,5,19,5,5,10,3
2015-02-01,5,12,5,5,10,3
2015-03-01,5,12,5,5,10,3
2015-04-01,5,6,5,5,10,3
2015-05-01,5,12,5,5,10,3
2015-06-01,5,12,5,5,10,3
2015-07-01,5,19,5,5,10,3
2015-08-01,5,19,5,5,10,3
2015-09-01,5,19,5,5,10,3
2015-10-01,5,19,5,5,10,3
2015-11-01,5,19,5,5,10,3
2015-12-01,5,19,5,5,10,3
2016-01-01,5,21,5,5,10,3
2016-02-01,5,21,5,5,10,3
2016-03-01,4,21,4,5,10,3
2016-04-01,4,21,4,5,10,3
2016-05-01,4,21,4,5,10,3
2016-06-01,4,21,4,5,10,3
2016-07-01,4,21,4,5,10,3
2016-08-01,4,21,4,5,10,3
2016-09-01,4,21,4,5,10,3
2016-10-01,4,21,4,5,10,3
2016-11-01,4,21,4,5,10,3
