variable,frequency
MOM_1,1
MOM_2,1
MOM_6,1
MOM_3,0.9186991869918699
svar,0.7967479674796748
OBV_1_9,0.7398373983739838
m2_growth,0.6341463414634146
OBV_2_12,0.44715447154471544
cfnai,0.43902439024390244
unrate_change,0.4146341463414634
MA_2_9,0.4146341463414634
MA_1_9,0.23577235772357724
ip_crude_growth,0.22764227642276422
inflation,0.21138211382113822
oil_prod_growth,0.21138211382113822
OBV_1_12,0.10569105691056911
oil_import_growth,0.08130081300813008
epu,0.056910569105691054
kilian,0.032520325203252036
MA_1_12,0.032520325203252036
tbill,0
long_yield,0
oil_stock_growth,0
capacity_util,0
MA_2_12,0
MA_3_9,0
MA_3_12,0
MOM_9,0
MOM_12,0
OBV_2_9,0
OBV_3_9,0
OBV_3_12,0
