model,variable,frequency
Screening_1,svar,0.5853658536585366
Screening_1,MOM_1,0.3333333333333333
Screening_1,MOM_2,0.08130081300813008
Screening_1,tbill,0
Screening_1,long_yield,0
Screening_1,inflation,0
Screening_1,epu,0
Screening_1,kilian,0
Screening_1,oil_prod_growth,0
Screening_1,oil_stock_growth,0
Screening_1,oil_import_growth,0
Screening_1,m2_growth,0
Screening_1,ip_crude_growth,0
Screening_1,unrate_change,0
Screening_1,cfnai,0
Screening_1,capacity_util,0
Screening_1,MA_1_9,0
Screening_1,MA_1_12,0
Screening_1,MA_2_9,0
Screening_1,MA_2_12,0
Screening_1,MA_3_9,0
Screening_1,MA_3_12,0
Screening_1,MOM_3,0
Screening_1,MOM_6,0
Screening_1,MOM_9,0
Screening_1,MOM_12,0
Screening_1,OBV_1_9,0
Screening_1,OBV_1_12,0
Screening_1,OBV_2_9,0
Screening_1,OBV_2_12,0
Screening_1,OBV_3_9,0
Screening_1,OBV_3_12,0
Screening_2,MOM_1,0.983739837398374
Screening_2,svar,0.6016260162601627
Screening_2,MOM_2,0.1951219512195122
Screening_2,inflation,0.17886178861788618
Screening_2,MOM_6,0.024390243902439025
Screening_2,cfnai,0.016260162601626018
Screening_2,tbill,0
Screening_2,long_yield,0
Screening_2,epu,0
Screening_2,kilian,0
Screening_2,oil_prod_growth,0
Screening_2,oil_stock_growth,0
Screening_2,oil_import_growth,0
Screening_2,m2_growth,0
Screening_2,ip_crude_growth,0
Screening_2,unrate_change,0
Screening_2,capacity_util,0
Screening_2,MA_1_9,0
Screening_2,MA_1_12,0
Screening_2,MA_2_9,0
Screening_2,MA_2_12,0
Screening_2,MA_3_9,0
Screening_2,MA_3_12,0
Screening_2,MOM_3,0
Screening_2,MOM_9,0
Screening_2,MOM_12,0
Screening_2,OBV_1_9,0
Screening_2,OBV_1_12,0
Screening_2,OBV_2_9,0
Screening_2,OBV_2_12,0
Screening_2,OBV_3_9,0
Screening_2,OBV_3_12,0
Screening_3,MOM_1,1
Screening_3,svar,0.7967479674796748
Screening_3,MOM_2,0.7804878048780488
Screening_3,inflation,0.2032520325203252
Screening_3,cfnai,0.12195121951219512
Screening_3,MOM_6,0.0975609756097561
Screening_3,tbill,0
Screening_3,long_yield,0
Screening_3,epu,0
Screening_3,kilian,0
Screening_3,oil_prod_growth,0
Screening_3,oil_stock_growth,0
Screening_3,oil_import_growth,0
Screening_3,m2_growth,0
Screening_3,ip_crude_growth,0
Screening_3,unrate_change,0
Screening_3,capacity_util,0
Screening_3,MA_1_9,0
Screening_3,MA_1_12,0
Screening_3,MA_2_9,0
Screening_3,MA_2_12,0
Screening_3,MA_3_9,0
Screening_3,MA_3_12,0
Screening_3,MOM_3,0
Screening_3,MOM_9,0
Screening_3,MOM_12,0
Screening_3,OBV_1_9,0
Screening_3,OBV_1_12,0
Screening_3,OBV_2_9,0
Screening_3,OBV_2_12,0
Screening_3,OBV_3_9,0
Screening_3,OBV_3_12,0
Screening_4,MOM_1,1
Screening_4,MOM_2,0.8617886178861789
Screening_4,svar,0.7967479674796748
Screening_4,MOM_3,0.7398373983739838
Screening_4,inflation,0.2032520325203252
Screening_4,cfnai,0.2032520325203252
Screening_4,MOM_6,0.16260162601626016
Screening_4,ip_crude_growth,0.024390243902439025
Screening_4,oil_import_growth,0.008130081300813009
Screening_4,tbill,0
Screening_4,long_yield,0
Screening_4,epu,0
Screening_4,kilian,0
Screening_4,oil_prod_growth,0
Screening_4,oil_stock_growth,0
Screening_4,m2_growth,0
Screening_4,unrate_change,0
Screening_4,capacity_util,0
Screening_4,MA_1_9,0
Screening_4,MA_1_12,0
Screening_4,MA_2_9,0
Screening_4,MA_2_12,0
Screening_4,MA_3_9,0
Screening_4,MA_3_12,0
Screening_4,MOM_9,0
Screening_4,MOM_12,0
Screening_4,OBV_1_9,0
Screening_4,OBV_1_12,0
Screening_4,OBV_2_9,0
Screening_4,OBV_2_12,0
Screening_4,OBV_3_9,0
Screening_4,OBV_3_12,0
Screening_5,MOM_1,1
Screening_5,MOM_6,0.9024390243902439
Screening_5,MOM_2,0.8861788617886179
Screening_5,svar,0.7967479674796748
Screening_5,MOM_3,0.7479674796747967
Screening_5,cfnai,0.21138211382113822
Screening_5,inflation,0.2032520325203252
Screening_5,ip_crude_growth,0.15447154471544716
Screening_5,OBV_1_9,0.08130081300813008
Screening_5,oil_prod_growth,0.008130081300813009
Screening_5,oil_import_growth,0.008130081300813009
Screening_5,tbill,0
Screening_5,long_yield,0
Screening_5,epu,0
Screening_5,kilian,0
Screening_5,oil_stock_growth,0
Screening_5,m2_growth,0
Screening_5,unrate_change,0
Screening_5,capacity_util,0
Screening_5,MA_1_9,0
Screening_5,MA_1_12,0
Screening_5,MA_2_9,0
Screening_5,MA_2_12,0
Screening_5,MA_3_9,0
Screening_5,MA_3_12,0
Screening_5,MOM_9,0
Screening_5,MOM_12,0
Screening_5,OBV_1_12,0
Screening_5,OBV_2_9,0
Screening_5,OBV_2_12,0
Screening_5,OBV_3_9,0
Screening_5,OBV_3_12,0
Screening_6,MOM_1,1
Screening_6,MOM_6,0.991869918699187
Screening_6,MOM_2,0.926829268292683
Screening_6,svar,0.7967479674796748
Screening_6,MOM_3,0.7560975609756098
Screening_6,OBV_1_9,0.6747967479674797
Screening_6,cfnai,0.21951219512195122
Screening_6,inflation,0.2032520325203252
Screening_6,ip_crude_growth,0.18699186991869918
Screening_6,oil_prod_growth,0.12195121951219512
Screening_6,m2_growth,0.06504065040650407
Screening_6,epu,0.024390243902439025
Screening_6,oil_import_growth,0.024390243902439025
Screening_6,unrate_change,0.008130081300813009
Screening_6,tbill,0
Screening_6,long_yield,0
Screening_6,kilian,0
Screening_6,oil_stock_growth,0
Screening_6,capacity_util,0
Screening_6,MA_1_9,0
Screening_6,MA_1_12,0
Screening_6,MA_2_9,0
Screening_6,MA_2_12,0
Screening_6,MA_3_9,0
Screening_6,MA_3_12,0
Screening_6,MOM_9,0
Screening_6,MOM_12,0
Screening_6,OBV_1_12,0
Screening_6,OBV_2_9,0
Screening_6,OBV_2_12,0
Screening_6,OBV_3_9,0
Screening_6,OBV_3_12,0
Screening_7,MOM_1,1
Screening_7,MOM_2,1
Screening_7,MOM_6,1
Screening_7,svar,0.7967479674796748
Screening_7,MOM_3,0.7967479674796748
Screening_7,OBV_1_9,0.7398373983739838
Screening_7,m2_growth,0.35772357723577236
Screening_7,cfnai,0.25203252032520324
Screening_7,OBV_2_12,0.21951219512195122
Screening_7,ip_crude_growth,0.21138211382113822
Screening_7,inflation,0.2032520325203252
Screening_7,oil_prod_growth,0.17073170731707318
Screening_7,MA_1_9,0.07317073170731707
Screening_7,MA_2_9,0.07317073170731707
Screening_7,epu,0.04065040650406504
Screening_7,oil_import_growth,0.032520325203252036
Screening_7,unrate_change,0.032520325203252036
Screening_7,tbill,0
Screening_7,long_yield,0
Screening_7,kilian,0
Screening_7,oil_stock_growth,0
Screening_7,capacity_util,0
Screening_7,MA_1_12,0
Screening_7,MA_2_12,0
Screening_7,MA_3_9,0
Screening_7,MA_3_12,0
Screening_7,MOM_9,0
Screening_7,MOM_12,0
Screening_7,OBV_1_12,0
Screening_7,OBV_2_9,0
Screening_7,OBV_3_9,0
Screening_7,OBV_3_12,0
Screening_8,MOM_1,1
Screening_8,MOM_2,1
Screening_8,MOM_6,1
Screening_8,MOM_3,0.8943089430894309
Screening_8,svar,0.7967479674796748
Screening_8,OBV_1_9,0.7398373983739838
Screening_8,m2_growth,0.4878048780487805
Screening_8,unrate_change,0.3008130081300813
Screening_8,MA_2_9,0.2845528455284553
Screening_8,cfnai,0.25203252032520324
Screening_8,OBV_2_12,0.24390243902439024
Screening_8,ip_crude_growth,0.21951219512195122
Screening_8,inflation,0.21138211382113822
Screening_8,oil_prod_growth,0.21138211382113822
Screening_8,MA_1_9,0.12195121951219512
