variable,frequency
svar,0.8048780487804879
MOM_1,0.7317073170731707
MOM_2,0.5447154471544715
MOM_3,0.5040650406504065
MOM_6,0.4065040650406504
OBV_1_9,0.25203252032520324
cfnai,0.22764227642276422
m2_growth,0.21951219512195122
MA_2_9,0.21138211382113822
OBV_2_12,0.1951219512195122
unrate_change,0.16260162601626016
epu,0.07317073170731707
inflation,0.024390243902439025
ip_crude_growth,0.024390243902439025
MA_1_9,0.024390243902439025
MA_1_12,0.024390243902439025
oil_prod_growth,0.016260162601626018
oil_import_growth,0.008130081300813009
tbill,0
long_yield,0
kilian,0
oil_stock_growth,0
capacity_util,0
MA_2_12,0
MA_3_9,0
MA_3_12,0
MOM_9,0
MOM_12,0
OBV_1_12,0
OBV_2_9,0
OBV_3_9,0
OBV_3_12,0
